English,Turkish,Level,Status,Review_Count
Analyze,Analiz etmek,B1,New,0
Comprehensive,Kapsamlı,B2,New,0
Coherent,Tutarlı,B2,New,0
Collaborate,İşbirliği yapmak,B1,New,0
Concise,Özlü,B2,New,0
Conduct,Yürütmek,B1,New,0
Consecutive,Ardışık,B2,New,0
Consider,Dikkate almak,B1,New,0
Constitute,Oluşturmak,B2,New,0
Contribute,Katkıda bulunmak,B1,New,0
Crucial,Çok önemli,B2,New,0
Debate,Tartışmak,B1,New,0
Demonstrate,Göstermek,B1,New,0
Derive,Türetmek,B2,New,0
Determine,Belirlemek,B1,New,0
Develop,Geliştirmek,B1,New,0
Devise,Tasarlamak,B2,New,0
Disappear,Kaybolmak,B1,New,0
Diverse,Çeşitli,B2,New,0
Dominate,Hakim olmak,B1,New,0
Efficient,Verimli,B1,New,0
Enhance,Geliştirmek,B2,New,0
Enormous,Muazzam,B1,New,0
Ensure,Sağlamak,B1,New,0
Establish,Kurmak,B1,New,0
Evaluate,Değerlendirmek,B1,New,0
Eventually,Sonunda,B1,New,0
Evidence,Kanıt,B1,New,0
Exceed,Aşmak,B2,New,0
Execute,Uygulamak,B2,New,0
Exemplify,Örnek göstermek,B2,New,0
Exhibit,Sergilemek,B2,New,0
Explicit,Açık,B2,New,0
Facilitate,Kolaylaştırmak,B2,New,0
Feasible,Uygulanabilir,B2,New,0
Formulate,Formüle etmek,B2,New,0
Fundamental,Temel,B1,New,0
Generate,Üretmek,B1,New,0
Gradual,Kademeli,B1,New,0
Hypothesis,Hipotez,B2,New,0
Identical,Aynı,B1,New,0
Illustrate,Göstermek,B1,New,0
Imply,İma etmek,B2,New,0
Implement,Uygulamak,B1,New,0
Improve,İyileştirmek,B1,New,0
Inadequate,Yetersiz,B2,New,0
Incorporate,Dahil etmek,B2,New,0
Increase,Artırmak,B1,New,0
Inevitable,Kaçınılmaz,B2,New,0
Infer,Sonuç çıkarmak,B2,New,0
Inherent,Doğal,B2,New,0
Maintain,Sürdürmek,B1,New,0
Clarify,Açıklığa kavuşturmak,B1,New,0
Acquire,Edinmek,B1,New,0
Assess,Değerlendirmek,B1,New,0
Assume,Varsaymak,B2,New,0
Conclude,Sonuçlandırmak,B1,New,0
Consequence,Sonuç,B1,New,0
Constraint,Kısıt,B2,New,0
Context,Bağlam,B1,New,0
Contrast,Karşılaştırmak,B1,New,0
Criteria,Kriterler,B2,New,0
Data,Veri,B1,New,0
Decline,Azalmak,B1,New,0
Define,Tanımlamak,B1,New,0
Distribution,Dağılım,B2,New,0
Emphasize,Vurgulamak,B1,New,0
Estimation,Tahmin,B2,New,0
Exclude,Hariç tutmak,B2,New,0
Factor,Faktör,B1,New,0
Function,İşlev,B1,New,0
Impact,Etkilemek,B1,New,0
Indicate,Belirtmek,B1,New,0
Interpret,Yorumlamak,B2,New,0
Limit,Sınır,B1,New,0
Link,Bağlantı,B1,New,0
Maintainable,Sürdürülebilir,B2,New,0
Method,Yöntem,B1,New,0
Occur,Meydana gelmek,B1,New,0
Outcome,Sonuç,B1,New,0
Principle,İlke,B2,New,0
Propose,Önermek,B1,New,0
Relevant,İlgili,B1,New,0
Reliable,Güvenilir,B2,New,0
Require,Gerektirmek,B1,New,0
Respond,Yanıtlamak,B1,New,0
Significant,Önemli,B2,New,0
Similar,Benzer,B1,New,0
Source,Kaynak,B1,New,0
Structure,Yapı,B1,New,0
Sufficient,Yeterli,B2,New,0
Survey,Anket,B1,New,0
Sustain,Sürdürmek,B2,New,0
Trend,Eğilim,B1,New,0
Valid,Geçerli,B2,New,0
Variable,Değişken,B1,New,0
Vision,Vizyon,B2,New,0
Voluntary,Gönüllü,B2,New,0
Widespread,Yaygın,B2,New,0
Accommodate,Barındırmak / Uyum sağlamak,B2,New,0
Adequate,Yeterli / Uygun,B2,New,0
Alternative,Alternatif / Seçenek,B1,New,0
Analysis,Analiz / Çözümleme,B1,New,0
Approach,Yaklaşım / Yaklaşmak,B2,New,0
Assessment,Değerlendirme,B2,New,0
Benefit,Fayda / Yarar,B1,New,0
Challenge,Zorluk / Meydan okuma,B1,New,0
Circumstance,Durum / Koşul,B2,New,0
Component,Bileşen / Parça,B2,New,0
Conclusion,Sonuç / Yargı,B1,New,0
Consistent,Tutarlı / İstikrarlı,B2,New,0
Contribution,Katkı,B2,New,0
Distinct,Belirgin / Farklı,B2,New,0
Economic,Ekonomik,B1,New,0
Element,Unsur / Eleman,B1,New,0
Emphasis,Vurgu / Önem,B2,New,0
Environment,Çevre / Ortam,B1,New,0
Estimate,Tahmin etmek / Kestirmek,B2,New,0
Feature,Özellik / Nitelik,B1,New,0
Final,Son / Nihai,A2,New,0
Financial,Finansal / Mali,B2,New,0
Focus,Odaklanmak / Odak,B1,New,0
Identify,Tanımlamak / Tespit etmek,B2,New,0
Individual,Birey / Bireysel,B1,New,0
Interpretation,Yorumlama,B2,New,0
Investment,Yatırım,B2,New,0
Maintenance,Bakım / Sürdürme,B2,New,0
Obtain,Elde etmek / Sağlamak,B2,New,0
Participate,Katılmak / İştirak etmek,B1,New,0
Perceive,Algılamak / Sezinlemek,B2,New,0
Positive,Olumlu / Pozitif,A2,New,0
Potential,Potansiyel / Olası,B2,New,0
Previous,Önceki,B1,New,0
Primary,Birincil / Ana,B2,New,0
Procedure,Prosedür / İşlem,B1,New,0
Process,Süreç / İşlem,B1,New,0
Range,Aralık / Çeşitlilik,B2,New,0
Region,Bölge / Yöre,B1,New,0
Regulation,Düzenleme / Mevzuat,B2,New,0
Resident,Sakin / Yerli,B2,New,0
Resource,Kaynak,B1,New,0
Restricted,Kısıtlı / Sınırlı,B2,New,0
Security,Güvenlik,B1,New,0
Seek,Aramak / Peşine düşmek,B2,New,0
Select,Seçmek,A2,New,0
Specific,Özel / Belirli,B1,New,0
Strategy,Strateji,B1,New,0
